age,gender,height_cm,weight_kg,target_weight_kg,goal,activity_level,dietary_preference,sleep_hours,stress_score,workout_freq,bmr,tdee,target_calories,target_protein,target_carbs,target_fat
29,male,161.8,76.9,75.3,endurance,light,keto,7.4,7,2,1639.9,2254.9,2393.5,149.6,29.9,186.2
39,male,171.6,76.4,74.5,endurance,moderate,vegetarian,8.0,8,1,1646.2,2551.6,2699.1,123.9,361.9,84.0
47,female,160.8,86.0,93.7,muscle_gain,sedentary,vegetarian,8.0,7,5,1468.6,1762.3,2163.9,178.9,226.9,60.1
34,male,178.9,83.5,83.1,endurance,active,keto,8.0,2,5,1788.6,3085.3,3095.3,193.5,38.7,240.7
27,male,182.8,77.3,72.8,weight_loss,active,keto,7.4,6,3,1785.4,3079.8,2471.1,154.4,30.9,192.2
29,female,174.9,79.0,78.5,endurance,sedentary,vegetarian,6.7,8,3,1576.9,1892.3,2088.4,146.6,229.2,65.0
39,male,173.1,54.1,63.9,muscle_gain,very_active,vegetarian,6.5,7,1,1433.1,2723.0,2987.7,118.9,441.3,83.0
45,female,161.1,61.1,62.0,endurance,sedentary,keto,6.0,4,1,1231.6,1477.9,1662.8,103.9,20.8,129.3
49,male,189.0,109.1,110.3,endurance,active,vegetarian,7.2,8,1,2031.9,3505.1,3687.4,195.6,468.2,114.7
32,male,163.9,98.7,98.7,maintenance,sedentary,vegan,5.6,2,2,1855.9,2227.1,2149.1,181.2,205.5,66.9
32,female,155.3,56.9,66.4,muscle_gain,very_active,non_vegetarian,6.0,1,4,1219.1,2316.3,2599.3,114.4,373.0,72.2
23,male,171.7,70.3,74.5,muscle_gain,light,vegetarian,6.6,2,4,1666.3,2291.1,2707.2,141.7,365.9,75.2
18,male,177.8,95.1,86.1,weight_loss,sedentary,vegetarian,6.3,4,4,1976.5,2371.8,1843.0,213.0,132.6,51.2
22,female,161.4,78.2,80.1,endurance,moderate,vegetarian,6.0,4,1,1519.2,2354.8,2569.7,138.6,324.0,79.9
24,male,179.9,62.6,62.6,maintenance,sedentary,vegetarian,8.2,3,6,1634.9,1961.8,2001.9,105.3,255.0,62.3
34,female,160.8,53.9,63.4,muscle_gain,active,non_vegetarian,5.8,10,4,1213.7,2093.6,2378.6,108.5,337.4,66.1
35,male,185.8,69.1,66.0,weight_loss,active,vegetarian,5.8,10,3,1682.2,2901.8,2434.9,141.9,314.7,67.6
18,female,158.9,63.6,62.2,endurance,light,non_vegetarian,7.1,4,2,1378.4,1895.4,2038.2,106.9,260.0,63.4
20,male,170.7,82.1,89.5,muscle_gain,active,vegetarian,6.7,1,5,1792.5,3092.1,3422.7,183.5,458.2,95.1
18,male,159.0,69.5,76.8,muscle_gain,sedentary,vegetarian,9.0,9,2,1604.0,1924.8,2306.0,157.0,275.3,64.1
18,female,159.5,57.7,62.1,muscle_gain,moderate,vegetarian,7.9,8,4,1322.7,2050.2,2500.2,129.2,339.7,69.4
26,male,179.1,80.0,87.5,muscle_gain,sedentary,vegetarian,7.0,6,5,1793.9,2152.7,2342.7,166.8,272.4,65.1
37,female,164.5,70.1,56.0,weight_loss,sedentary,vegetarian,8.2,8,5,1383.2,1659.8,1296.4,143.9,99.2,36.0
18,male,189.8,74.0,63.9,weight_loss,light,keto,6.6,4,6,1841.0,2531.4,2048.9,128.1,25.6,159.4
29,female,160.0,57.2,61.8,muscle_gain,sedentary,vegan,6.9,4,4,1265.8,1519.0,1887.4,118.5,235.5,52.4
18,male,182.0,72.2,68.5,weight_loss,active,keto,7.0,4,5,1774.3,3060.6,2473.8,154.6,30.9,192.4
25,female,171.8,57.6,61.6,muscle_gain,active,vegan,7.7,5,2,1363.5,2352.1,2731.1,127.6,384.4,75.9
22,female,168.3,72.2,77.2,muscle_gain,sedentary,vegetarian,7.1,7,2,1503.2,1803.8,2273.3,146.8,279.6,63.1
28,female,167.7,65.2,73.7,muscle_gain,moderate,non_vegetarian,7.6,3,5,1398.8,2168.1,2616.0,142.9,347.5,72.7
22,male,182.0,75.3,62.0,weight_loss,active,keto,6.3,8,4,1785.0,3079.1,2574.1,160.9,32.2,200.2
30,female,164.8,62.6,56.6,weight_loss,active,non_vegetarian,6.3,10,2,1344.8,2319.8,1831.6,133.4,210.0,50.9
45,male,183.9,90.2,92.2,endurance,sedentary,vegetarian,7.3,7,5,1831.0,2197.1,2364.4,164.2,261.3,73.6
21,female,169.7,74.5,74.5,endurance,sedentary,keto,5.8,1,6,1539.7,1847.6,2138.1,133.6,26.7,166.3
23,female,161.4,44.3,49.4,muscle_gain,light,vegan,5.8,8,6,1176.0,1617.0,1943.8,97.2,267.2,54.0
39,female,159.7,71.7,81.5,muscle_gain,active,vegetarian,6.0,7,2,1359.2,2344.6,2679.2,153.4,349.0,74.4
33,female,155.0,65.0,64.5,endurance,sedentary,vegetarian,7.4,5,4,1292.8,1551.3,1594.2,117.5,169.4,49.6
28,female,151.6,78.5,86.7,muscle_gain,sedentary,vegan,8.8,6,1,1431.1,1717.4,2115.6,158.3,238.3,58.8
34,male,188.2,64.7,65.2,endurance,moderate,keto,6.8,3,6,1658.2,2570.2,2915.4,182.2,36.4,226.8
39,male,174.1,93.9,98.6,muscle_gain,light,vegan,7.2,10,6,1837.2,2526.1,2780.6,191.0,330.4,77.2
21,male,171.1,70.6,79.9,muscle_gain,moderate,vegan,7.0,1,1,1675.5,2597.0,2853.6,151.9,383.1,79.3
42,female,161.2,68.2,68.2,maintenance,active,keto,7.3,2,4,1318.7,2274.8,2235.9,139.7,27.9,173.9
18,female,164.9,41.1,42.3,endurance,very_active,vegan,8.3,2,2,1190.1,2261.2,2456.1,77.4,364.7,76.4
18,female,176.9,74.9,61.1,weight_loss,sedentary,keto,6.5,2,1,1604.1,1924.9,1429.4,89.3,17.9,111.2
42,male,169.2,85.6,85.6,maintenance,sedentary,non_vegetarian,8.6,9,6,1708.8,2050.5,2062.8,149.7,221.6,64.2
32,male,186.2,88.3,88.3,maintenance,active,non_vegetarian,7.0,1,3,1891.2,3262.3,3290.5,153.8,438.4,102.4
18,male,168.3,76.3,63.3,weight_loss,sedentary,non_vegetarian,6.7,10,3,1729.8,2075.8,1580.2,164.5,131.8,43.9
18,female,179.9,82.2,82.0,endurance,very_active,keto,7.5,5,2,1695.2,3220.9,3482.7,217.7,43.5,270.9
30,female,161.5,52.6,62.4,muscle_gain,active,vegan,5.7,6,3,1224.2,2111.8,2467.5,117.3,345.4,68.5
32,female,154.3,68.0,76.0,muscle_gain,very_active,non_vegetarian,8.9,3,2,1323.5,2514.7,2851.4,141.8,392.8,79.2
18,male,169.1,72.2,62.3,weight_loss,sedentary,vegan,6.8,4,5,1694.1,2032.9,1619.7,153.9,149.8,45.0
35,male,165.3,84.8,84.8,maintenance,moderate,non_vegetarian,7.4,3,5,1711.3,2652.5,2529.3,145.2,310.1,78.7
40,female,159.7,62.9,48.7,weight_loss,sedentary,keto,8.2,8,3,1265.9,1519.1,1200.0,75.0,15.0,93.3
18,male,164.8,69.8,59.0,weight_loss,very_active,vegan,8.6,10,6,1643.4,3122.5,2704.2,145.8,361.3,75.1
18,male,153.3,71.7,72.6,endurance,moderate,vegetarian,6.0,9,1,1590.2,2464.9,2709.0,134.1,353.5,84.3
42,female,159.8,59.1,50.7,weight_loss,active,non_vegetarian,5.7,4,5,1218.1,2101.2,1656.7,119.8,190.9,46.0
18,male,172.9,80.7,80.7,maintenance,light,vegetarian,8.5,2,5,1802.2,2478.1,2511.5,131.1,321.0,78.1
24,female,163.2,40.0,47.2,muscle_gain,active,vegan,5.7,6,4,1080.7,1864.1,2170.4,86.1,320.8,60.3
34,male,168.1,78.8,78.3,endurance,moderate,keto,6.5,6,3,1674.1,2594.9,2832.4,177.0,35.4,220.3
26,female,164.2,52.4,40.5,weight_loss,light,keto,7.0,8,3,1259.7,1732.1,1224.4,76.5,15.3,95.2
36,male,177.3,69.8,71.1,endurance,active,non_vegetarian,6.0,5,4,1630.7,2813.0,3033.3,124.2,421.7,94.4
37,female,148.7,77.9,73.8,weight_loss,very_active,keto,6.9,5,4,1362.2,2588.1,2067.0,129.2,25.8,160.8
34,male,185.6,58.8,57.6,endurance,very_active,non_vegetarian,6.5,8,1,1582.8,3007.4,3139.1,108.8,456.1,97.7
27,female,157.5,84.8,84.8,maintenance,active,keto,6.3,1,2,1536.7,2650.7,2582.6,161.4,32.3,200.9
24,female,164.4,49.6,49.6,maintenance,active,vegetarian,8.6,7,2,1242.4,2143.2,2117.8,89.1,292.1,65.9
33,female,160.7,62.9,71.3,muscle_gain,sedentary,vegetarian,8.9,10,6,1307.0,1568.4,1887.9,135.1,219.0,52.4
18,female,165.3,85.1,86.6,endurance,very_active,keto,7.7,8,6,1632.4,3101.6,3303.4,206.5,41.3,256.9
32,male,181.5,60.2,60.2,maintenance,very_active,vegetarian,6.1,1,2,1581.9,3005.7,3159.2,111.6,457.0,98.3
32,female,174.4,55.2,53.9,endurance,light,vegan,7.0,6,1,1321.2,1816.6,2126.6,92.8,289.9,66.2
37,female,166.9,66.8,66.8,maintenance,very_active,vegetarian,8.2,3,1,1365.0,2593.6,2574.2,117.2,346.1,80.1
42,male,177.1,50.5,50.5,maintenance,moderate,vegan,7.9,6,1,1406.6,2180.3,2107.2,84.9,294.3,65.6
28,female,165.2,63.3,69.9,muscle_gain,sedentary,non_vegetarian,7.2,6,2,1364.5,1637.4,2060.1,133.7,252.6,57.2
18,male,177.1,52.5,61.3,muscle_gain,light,non_vegetarian,7.5,9,5,1547.7,2128.0,2534.5,117.5,357.7,70.4
29,male,179.4,65.9,64.4,endurance,active,vegetarian,5.6,6,3,1640.0,2829.1,3145.3,108.0,458.1,97.9
40,female,167.1,62.4,66.6,muscle_gain,active,vegan,8.1,2,2,1307.7,2255.8,2651.2,130.5,366.7,73.6
22,male,182.8,101.1,105.0,muscle_gain,light,vegan,5.8,2,1,2048.7,2817.0,3268.7,206.1,406.8,90.8
22,male,178.9,59.9,58.7,endurance,active,vegetarian,7.8,10,1,1612.0,2780.8,3031.9,96.4,449.4,94.3
34,female,149.9,50.1,46.3,weight_loss,moderate,vegetarian,8.1,2,5,1106.5,1715.1,1204.8,110.2,115.6,33.5
26,male,166.3,83.4,86.6,muscle_gain,light,vegan,8.1,5,5,1749.0,2404.9,2775.6,170.4,350.0,77.1
28,female,157.7,76.6,76.6,maintenance,light,non_vegetarian,5.7,10,1,1450.5,1994.5,2093.5,134.2,242.7,65.1
25,male,171.1,84.9,94.2,muscle_gain,moderate,non_vegetarian,8.9,2,2,1798.2,2787.1,3103.5,183.5,398.4,86.2
28,female,168.2,41.1,41.1,maintenance,very_active,non_vegetarian,8.9,3,3,1161.0,2205.9,2293.1,71.2,341.6,71.3
30,female,160.1,62.9,62.5,endurance,light,non_vegetarian,6.6,8,1,1319.0,1813.7,2011.4,115.0,247.0,62.6
18,male,188.0,78.6,78.8,endurance,moderate,vegan,6.6,2,4,1875.5,2907.1,3148.4,126.7,439.9,98.0
39,female,155.9,69.7,70.4,endurance,very_active,vegan,6.3,7,3,1314.9,2498.3,2676.6,129.1,352.6,83.3
38,female,148.1,62.8,72.4,muscle_gain,sedentary,keto,6.8,1,6,1202.8,1443.4,1760.9,110.1,22.0,137.0
34,female,166.3,55.5,46.2,weight_loss,active,keto,7.9,2,2,1263.4,2179.4,1643.5,102.7,20.5,127.8
28,female,156.7,74.1,75.1,endurance,very_active,vegetarian,6.1,6,2,1419.6,2697.2,2865.1,138.4,377.4,89.1
18,female,160.4,51.5,55.4,muscle_gain,very_active,keto,8.4,8,3,1266.7,2406.8,2621.9,163.9,32.8,203.9
18,female,163.8,79.9,80.6,endurance,moderate,keto,8.8,8,5,1572.0,2436.6,2661.3,166.3,33.3,207.0
23,female,166.2,58.5,62.4,muscle_gain,active,vegetarian,6.3,3,1,1347.6,2324.6,2618.9,125.6,365.5,72.7
18,male,162.0,72.5,61.4,weight_loss,sedentary,keto,8.9,7,5,1652.8,1983.4,1490.4,93.2,18.6,115.9
29,female,160.1,52.7,61.0,muscle_gain,moderate,vegetarian,7.3,8,4,1221.1,1892.6,2283.6,115.9,312.4,63.4
18,male,182.2,64.0,64.0,maintenance,active,keto,7.3,9,3,1693.5,2921.3,2855.3,178.5,35.7,222.1
18,male,172.0,91.7,84.1,weight_loss,active,vegetarian,6.8,8,1,1906.5,3288.7,2831.8,192.1,338.8,78.7
39,male,180.2,62.5,71.7,muscle_gain,very_active,vegan,7.0,5,6,1561.6,2967.0,3284.1,128.1,487.7,91.2
22,female,172.3,49.6,50.2,endurance,sedentary,keto,7.9,10,4,1302.3,1562.8,1810.1,113.1,22.6,140.8
38,female,175.8,59.1,64.8,muscle_gain,very_active,vegetarian,8.9,10,6,1338.6,2543.4,2955.2,127.0,427.1,82.1
52,female,158.7,45.6,45.6,maintenance,moderate,vegetarian,5.7,6,3,1026.5,1591.1,1501.4,73.3,197.0,46.7
37,male,160.9,72.8,72.8,maintenance,active,vegetarian,9.0,7,3,1553.7,2680.2,2715.3,125.8,362.9,84.5
31,male,179.4,81.1,88.6,muscle_gain,light,non_vegetarian,8.7,2,3,1782.4,2450.8,2908.2,176.6,368.6,80.8
20,male,170.6,67.2,67.2,maintenance,light,vegetarian,5.6,7,5,1643.0,2259.1,2315.4,118.4,298.5,72.0
39,female,166.2,78.2,78.2,maintenance,sedentary,keto,7.6,6,4,1464.5,1757.4,1695.3,106.0,21.2,131.9
46,female,173.7,72.8,72.8,maintenance,very_active,vegetarian,5.9,4,3,1422.7,2703.1,2847.6,134.1,378.4,88.6
18,female,159.3,55.2,55.2,maintenance,light,vegan,7.0,8,6,1296.6,1782.8,1821.4,94.3,233.5,56.7
19,male,182.1,97.2,100.5,muscle_gain,moderate,vegan,6.9,4,5,2019.7,3130.6,3553.2,223.4,442.8,98.7
32,male,168.1,66.1,59.8,weight_loss,very_active,vegan,7.4,7,2,1557.0,2958.4,2550.6,143.4,335.0,70.8
37,female,162.7,59.0,50.8,weight_loss,moderate,vegan,6.2,7,3,1260.9,1954.4,1366.0,127.6,128.6,37.9
19,female,176.4,48.6,55.6,muscle_gain,sedentary,non_vegetarian,8.9,8,3,1332.7,1599.3,1960.3,100.3,267.1,54.5
40,female,154.2,66.2,58.8,weight_loss,very_active,non_vegetarian,6.0,5,4,1265.0,2403.5,1957.1,135.3,231.6,54.4
30,female,183.1,44.0,44.0,maintenance,sedentary,non_vegetarian,6.4,5,6,1273.0,1527.6,1576.1,81.6,202.2,49.0
28,male,182.2,84.2,84.2,maintenance,very_active,non_vegetarian,5.9,4,1,1845.4,3506.2,3429.1,145.0,472.2,106.7
32,male,161.1,86.4,86.4,maintenance,active,keto,7.5,7,4,1716.6,2961.1,2987.6,186.7,37.3,232.4
36,male,184.5,83.1,87.1,muscle_gain,light,vegan,8.3,9,2,1809.4,2487.9,2850.5,172.6,361.8,79.2
21,male,170.3,94.6,96.0,endurance,sedentary,vegetarian,7.6,2,4,1910.5,2292.6,2600.0,153.7,314.3,80.9
27,female,163.3,53.1,47.3,weight_loss,active,non_vegetarian,7.3,2,5,1256.2,2167.0,1725.6,115.3,208.3,47.9
36,female,176.6,53.5,53.9,endurance,sedentary,non_vegetarian,6.6,10,6,1297.3,1556.7,1736.8,98.0,214.7,54.0
32,female,167.5,61.4,65.4,muscle_gain,active,non_vegetarian,8.9,8,4,1340.2,2311.8,2592.1,126.0,360.0,72.0
38,female,168.0,53.0,41.6,weight_loss,active,vegan,7.4,8,6,1229.3,2120.6,1686.5,107.8,208.5,46.8
41,male,177.1,79.1,79.1,maintenance,light,vegan,6.8,5,1,1697.9,2334.6,2373.4,137.8,289.5,73.8
21,male,176.2,47.9,38.3,weight_loss,light,vegan,8.9,6,6,1480.2,2035.2,1575.6,100.2,195.1,43.8
18,male,188.0,73.4,76.5,muscle_gain,active,keto,8.9,5,3,1824.0,3146.3,3474.1,217.1,43.4,270.2
23,male,173.7,97.9,106.9,muscle_gain,moderate,non_vegetarian,7.0,6,6,1954.2,3029.0,3126.8,200.5,385.7,86.9
42,female,165.4,49.5,36.6,weight_loss,moderate,vegetarian,7.1,7,3,1157.7,1794.4,1252.7,113.0,121.9,34.8
46,female,156.4,50.2,41.1,weight_loss,light,vegan,7.6,9,6,1088.0,1496.0,1200.0,105.7,119.4,33.3
33,female,156.4,66.6,67.2,endurance,sedentary,vegetarian,7.1,3,1,1317.7,1581.3,1726.4,110.2,200.6,53.7
41,female,170.4,70.4,77.4,muscle_gain,moderate,vegan,6.4,3,5,1403.0,2174.7,2552.1,143.1,335.4,70.9
47,female,163.0,49.8,49.8,maintenance,active,keto,8.6,3,3,1120.9,1933.6,1959.6,122.5,24.5,152.4
50,male,167.9,72.9,72.9,maintenance,moderate,non_vegetarian,6.8,7,4,1533.7,2377.2,2406.9,118.5,314.7,74.9
29,male,168.1,93.7,79.8,weight_loss,sedentary,non_vegetarian,6.2,3,1,1847.9,2217.5,1837.1,214.8,129.7,51.0
31,female,156.7,45.4,44.0,endurance,very_active,vegan,6.1,10,1,1117.3,2122.9,2340.9,85.7,335.7,72.8
41,male,179.8,78.0,76.5,endurance,active,keto,8.0,4,3,1703.4,2938.4,3082.9,192.7,38.5,239.8
19,female,168.8,75.0,74.7,endurance,active,non_vegetarian,6.3,5,6,1548.9,2671.9,2738.7,124.6,368.4,85.2
45,male,180.6,97.6,98.8,endurance,light,keto,5.6,5,2,1884.6,2591.4,2679.0,167.4,33.5,208.4
18,female,162.0,70.0,73.6,muscle_gain,moderate,keto,7.1,6,6,1461.6,2265.4,2756.4,172.3,34.5,214.4
37,female,161.3,51.7,59.9,muscle_gain,active,keto,6.4,2,5,1179.0,2033.7,2471.7,154.5,30.9,192.2
20,male,189.0,74.0,65.3,weight_loss,moderate,non_vegetarian,7.6,10,6,1826.6,2831.2,2442.5,155.9,302.2,67.8
36,male,174.9,70.7,64.1,weight_loss,moderate,keto,6.9,6,2,1625.4,2519.4,1998.8,124.9,25.0,155.5
34,male,176.6,69.7,76.2,muscle_gain,moderate,non_vegetarian,8.6,3,1,1635.7,2535.4,2871.0,158.9,379.3,79.8
30,female,148.1,69.5,68.0,endurance,light,vegan,5.9,5,6,1309.6,1800.7,1941.9,112.1,237.5,60.4
18,female,151.2,42.5,43.0,endurance,moderate,vegan,6.4,6,4,1118.7,1733.9,1855.3,77.7,256.3,57.7
22,male,191.6,70.6,70.6,maintenance,active,non_vegetarian,8.7,8,1,1799.0,3103.3,3119.9,124.7,436.8,97.1
34,male,177.0,76.9,81.2,muscle_gain,sedentary,non_vegetarian,6.1,8,4,1710.7,2052.9,2316.7,164.6,269.7,64.4
44,male,190.5,54.4,53.8,endurance,sedentary,keto,8.0,8,4,1519.8,1823.7,1961.6,122.6,24.5,152.6
27,female,156.2,70.1,62.9,weight_loss,light,vegetarian,6.5,3,6,1381.3,1899.2,1368.7,144.5,112.2,38.0
51,female,171.3,66.6,73.3,muscle_gain,very_active,vegetarian,7.0,2,2,1320.3,2508.7,2946.7,144.6,407.8,81.9
41,female,159.1,54.2,47.8,weight_loss,moderate,vegetarian,5.9,6,5,1170.1,1813.7,1316.8,124.4,122.4,36.6
38,male,177.1,55.9,55.9,maintenance,light,vegetarian,8.4,8,4,1481.2,2036.6,1987.6,90.8,267.0,61.8
29,female,162.5,87.7,76.8,weight_loss,moderate,vegetarian,6.6,10,2,1586.1,2458.5,1877.1,200.4,151.6,52.1
35,male,187.9,109.8,97.2,weight_loss,moderate,vegan,7.4,10,4,2102.5,3258.8,2725.3,244.1,266.9,75.7
34,male,180.6,80.7,79.7,endurance,moderate,non_vegetarian,6.9,1,2,1770.9,2744.8,2936.1,147.8,380.8,91.3
34,male,155.7,87.5,88.1,endurance,active,vegan,6.0,5,4,1683.9,2904.7,3116.4,165.1,395.8,97.0
27,female,177.3,55.9,55.9,maintenance,very_active,non_vegetarian,5.8,6,5,1371.3,2605.5,2574.0,95.5,367.8,80.1
49,male,169.3,70.3,70.2,endurance,active,keto,7.5,7,1,1521.4,2624.4,2811.9,175.7,35.1,218.7
38,female,164.5,48.5,48.5,maintenance,very_active,non_vegetarian,7.0,1,5,1161.7,2207.3,2172.0,83.9,307.0,67.6
23,female,162.5,69.1,70.8,endurance,light,non_vegetarian,7.8,2,3,1430.5,1966.9,2194.1,121.5,273.4,68.3
18,female,170.4,67.0,66.2,endurance,sedentary,keto,8.9,5,2,1484.6,1781.5,2063.8,129.0,25.8,160.5
34,female,170.7,69.6,69.6,maintenance,very_active,vegetarian,8.7,9,1,1431.9,2720.6,2830.5,122.9,386.5,88.1
35,female,162.3,91.3,91.9,endurance,sedentary,keto,7.5,5,3,1591.2,1909.4,2165.6,135.3,27.1,168.4
35,female,154.1,48.5,44.1,weight_loss,very_active,vegetarian,6.1,3,4,1112.3,2113.4,1627.6,106.6,198.6,45.2
31,male,171.1,80.0,73.2,weight_loss,active,vegan,8.2,8,5,1719.0,2965.3,2582.8,177.4,307.0,71.7
36,female,155.0,62.7,62.7,maintenance,light,non_vegetarian,8.1,10,3,1254.4,1724.9,1683.2,103.8,199.1,52.4
26,male,172.7,71.3,69.3,endurance,very_active,vegetarian,6.1,8,4,1667.4,3168.2,3241.3,116.6,466.9,100.8
28,female,159.1,40.0,40.8,endurance,moderate,vegan,7.9,5,1,981.7,1521.6,1827.7,75.6,253.3,56.9
40,male,173.0,78.3,82.1,muscle_gain,sedentary,non_vegetarian,8.9,1,2,1668.8,2002.6,2269.9,157.0,268.5,63.1
46,female,176.3,65.9,74.8,muscle_gain,light,keto,8.5,9,2,1369.6,1883.1,2301.7,143.9,28.8,179.0
31,male,165.3,72.2,72.2,maintenance,active,non_vegetarian,5.6,3,2,1605.5,2769.5,2780.5,125.8,374.7,86.5
25,female,161.5,62.9,64.3,endurance,active,vegetarian,6.2,10,4,1352.2,2332.6,2526.4,111.7,343.0,78.6
30,male,167.5,68.0,68.0,maintenance,sedentary,vegetarian,8.0,7,4,1581.6,1897.9,1824.8,121.7,206.7,56.8
39,female,148.3,77.8,69.0,weight_loss,active,keto,7.6,10,6,1349.1,2327.1,1903.1,118.9,23.8,148.0
26,female,144.8,59.7,65.7,muscle_gain,sedentary,vegetarian,5.7,7,4,1210.5,1452.6,1799.1,125.1,212.2,50.0
19,male,171.9,99.4,99.2,endurance,very_active,vegan,6.1,4,4,1978.5,3759.1,4038.1,172.0,554.9,125.6
20,female,151.8,60.1,60.5,endurance,light,non_vegetarian,8.7,8,2,1288.6,1771.8,1959.2,108.5,244.1,61.0
34,female,159.3,70.1,71.3,endurance,active,vegan,8.5,10,2,1365.7,2355.8,2704.2,129.0,357.8,84.1
38,female,162.7,61.8,56.7,weight_loss,active,non_vegetarian,7.2,7,4,1283.7,2214.3,1696.0,126.5,191.5,47.1
41,female,158.6,64.5,74.5,muscle_gain,light,vegetarian,6.4,3,2,1270.7,1747.3,2100.5,135.9,258.1,58.3
24,male,165.0,82.5,78.1,weight_loss,moderate,keto,6.3,9,2,1741.6,2699.5,2195.4,137.2,27.4,170.8
35,female,159.3,78.6,78.6,maintenance,moderate,vegan,8.2,9,3,1445.9,2241.2,2182.2,143.9,248.9,67.9
47,male,162.0,84.1,71.5,weight_loss,sedentary,keto,8.9,2,1,1623.5,1948.2,1468.8,91.8,18.4,114.2
22,male,179.4,95.9,90.9,weight_loss,very_active,vegetarian,6.2,6,2,1975.4,3753.2,3036.8,195.2,374.1,84.4
35,female,145.5,52.4,53.3,endurance,very_active,keto,5.8,6,3,1097.8,2085.8,2397.5,149.8,30.0,186.5
24,male,166.6,75.2,60.6,weight_loss,light,keto,8.2,1,2,1678.6,2308.1,1920.2,120.0,24.0,149.3
18,female,155.6,82.0,82.0,maintenance,moderate,non_vegetarian,6.8,7,3,1541.4,2389.2,2522.4,133.3,320.7,78.5
28,male,166.1,107.3,115.8,muscle_gain,very_active,keto,6.0,7,4,1976.5,3755.3,4301.7,268.9,53.8,334.6
36,female,157.3,63.4,65.2,endurance,very_active,vegan,8.2,9,1,1276.3,2425.0,2612.4,109.9,360.3,81.3
33,male,187.6,90.3,90.3,maintenance,moderate,keto,8.9,3,4,1915.7,2969.3,2873.3,179.6,35.9,223.5
43,male,178.5,87.6,89.2,endurance,sedentary,non_vegetarian,7.7,9,3,1781.8,2138.2,2441.1,141.7,297.8,75.9
18,female,162.7,57.6,58.5,endurance,very_active,vegan,6.7,5,5,1342.4,2550.6,2621.2,97.6,374.3,81.5
33,male,196.1,52.2,53.8,endurance,active,non_vegetarian,7.7,8,6,1588.0,2739.2,2936.4,93.3,435.2,91.4
36,female,163.9,62.6,60.9,endurance,light,vegan,6.9,3,5,1309.6,1800.6,1922.7,110.3,235.8,59.8
32,female,157.7,40.0,46.6,muscle_gain,sedentary,vegan,6.1,1,5,1041.9,1250.2,1657.6,89.1,221.8,46.0
39,female,163.4,66.7,76.6,muscle_gain,moderate,keto,5.9,1,3,1332.5,2065.4,2493.2,155.8,31.2,193.9
32,female,169.3,60.4,60.4,maintenance,sedentary,vegetarian,8.8,8,3,1341.6,1609.9,1673.3,110.3,190.8,52.1
33,male,177.6,60.2,61.4,endurance,moderate,non_vegetarian,7.5,9,5,1551.9,2405.4,2627.9,114.2,358.7,81.8
21,male,170.9,66.6,66.6,maintenance,moderate,vegan,8.4,10,6,1633.9,2532.6,2451.6,119.9,321.3,76.3
51,male,186.7,104.9,103.3,endurance,very_active,non_vegetarian,6.2,6,4,1965.4,3734.3,3790.0,184.1,498.1,117.9
30,male,165.7,68.3,71.9,muscle_gain,active,keto,5.7,3,4,1572.9,2713.3,2978.9,186.2,37.2,231.7
42,male,172.8,93.0,93.7,endurance,sedentary,vegan,7.5,7,3,1804.8,2165.7,2408.6,160.0,273.6,74.9
53,female,152.6,79.1,80.0,endurance,active,keto,7.0,3,2,1319.1,2275.5,2560.6,160.0,32.0,199.2
20,male,184.1,82.7,84.6,endurance,active,non_vegetarian,7.4,4,4,1882.4,3247.2,3423.6,145.1,471.2,106.5
21,female,158.0,88.6,74.5,weight_loss,light,vegan,8.5,2,1,1607.3,2210.0,1710.0,180.4,140.2,47.5
37,female,157.5,54.6,54.6,maintenance,sedentary,non_vegetarian,6.6,6,3,1184.6,1421.5,1467.6,89.3,174.8,45.7
18,female,160.1,64.4,63.0,endurance,sedentary,non_vegetarian,5.7,5,3,1393.7,1672.4,1878.7,114.4,223.9,58.4
28,male,179.2,87.7,91.6,muscle_gain,active,vegetarian,8.5,7,4,1861.8,3211.6,3640.1,184.6,497.9,101.1
20,female,161.0,78.3,78.2,endurance,moderate,keto,8.0,10,2,1528.7,2369.5,2638.4,164.9,33.0,205.2
18,male,178.8,50.3,48.9,endurance,active,keto,8.0,2,5,1535.6,2648.9,2853.0,178.3,35.7,221.9
48,female,156.4,54.0,53.4,endurance,light,keto,5.7,8,6,1116.2,1534.7,1774.5,110.9,22.2,138.0
18,female,158.6,71.2,61.3,weight_loss,light,vegetarian,8.0,9,6,1451.6,1996.0,1467.5,159.4,115.7,40.8
27,male,182.0,83.9,69.4,weight_loss,light,vegetarian,8.1,9,1,1846.2,2538.6,2054.9,180.9,204.4,57.1
26,male,179.0,76.3,84.8,muscle_gain,sedentary,vegan,8.0,10,4,1756.2,2107.4,2491.2,158.2,308.9,69.2
25,male,174.5,64.1,64.1,maintenance,active,vegetarian,8.8,6,4,1612.3,2781.2,2778.3,112.0,388.2,86.4
21,male,167.1,81.6,81.1,endurance,sedentary,vegan,8.9,9,2,1760.5,2112.6,2327.4,132.8,286.1,72.4
37,female,160.0,68.9,77.3,muscle_gain,light,vegan,8.8,3,1,1342.9,1846.4,2232.7,141.0,277.7,62.0
34,female,157.2,65.8,70.9,muscle_gain,sedentary,vegetarian,6.0,6,3,1309.6,1571.5,1942.5,133.5,230.6,54.0
